,text,score
0,SpiceJet to issue 6.4 crore warrants to promoters,0.0
1,MMTC Q2 net loss at Rs 10.4 crore,0.0
2,"Mid-cap funds can deliver more, stay put: Experts",1.0
3,Mid caps now turn into market darlings,1.0
4,"Market seeing patience, if not conviction: Prakash Diwan",0.0
5,Infosys: Will the strong volume growth sustain?,0.0
6,Hudco raises Rs 279 cr via tax-free bonds,1.0
7,HOEC could retest 30-35 levels: Ashwani Gujral,0.0
8,Genpact appoints Edward J Fitzpatrick as CFO,0.0
9,"EXL beats profit estimates, cuts sales outlook",1.0
10,Wait and watch on Bharti Airtel: Vinay Khattar,0.0
11,"Would stick to banking: Girish Pai, Centrum Broking",1.0
12,MSCI adds Aurobindo Pharma to India index,1.0
13,Ashok Leyland raises Rs 667 crore through QIP,1.0
14,"At Wipro, growth remains a mirage",-1.0
15,Why Chinese stocks leave US investors vulnerable,-1.0
16,US stocks finish mixed amid more tech selling,-1.0
17,Opec reduces estimate on oil demand growth,-1.0
18,Oil prices mixed ahead of US supply report,0.0
19,Makemytrip expands share sale plan,0.0
20,Gur closes quiet on some support,0.0
21,Gur closes steady on low demand,0.0
22,Gur closes steady on thin trade,0.0
23,Gur remains flat in tight movements,0.0
24,Popularising G-Secs among retail investors,0.0
25,Gold trades nearly flat on dull demand,0.0
26,ZEE announces closure of share buyback programme,0.0
27,ZEE Q2 net at Rs 216.3 cr,0.0
28,China to start yuan trading on Tuesday,0.0
29,BSE inks strategic partnership with YES Bank,0.0
30,Yes Bank launches Sovereign Gold Bond,0.0
31,"Yen firms in Asia on Iraq, Ukraine jitters",1.0
32,Billionaire's stake shakes Woolworth's buyout of David Jones,0.0
33,Wonderla Holidays IPO subscribed 42% on Day 1,0.0
34,Wonderla Holidays IPO subscribed 98% on second day,0.0
35,WNS appoints Ronald Gillette as Chief Operating Officer,0.0
36,Strong deals crucial for Wipro's growth push,0.0
37,Ten key takeaways from Wipro Q1 results,0.0
38,Whirlpool may head to around 450-475: Devang Visaria,0.0
39,Western Coalfields CMD D C Garg passes away,0.0
40,VRL Logistics IPO grey market premium at 38%,0.0
41,"IPO after tax row is settled, says Vodafone",0.0
42,Vodafone gets ready for IPO of Indian arm,0.0
43,VMware appoints Arun Parameswaran as India MD,0.0
44,Videocon D2H likely to bring IPO this fiscal,0.0
45,Videocon appoints Sanjeev Bakshi as COO,0.0
46,Viber ups marketing efforts with CMO appointment,0.0
47,Verizon appoints Christopher Formant to head enterprise business,0.0
48,"Amidst commodity boom, vanilla remains plain vanilla",0.0
49,Universal Commodity Exchange goes live,0.0
50,United Spirits appoints Anand Kripalu as CEO,0.0
51,Promoters raise stake to 46.72 pc in Unitech,0.0
52,Uninor appoints Grameenphone CTO as new India COO,0.0
53,TV Today Q2 profit at Rs 12.83 crore,0.0
54,Tokyo stocks flat by the break,0.0
55,Adi Rajaram appointed TNIIC chairman,0.0
56,4200 is key level for Titan: Ashwani Gujral,0.0
57,Kapil Kapoor is global COO of Timex Group,0.0
58,TIL Limited can open-up for Rs 900-1200: Ventura,0.0
59,Thyrocare Technologies Limited files draft IPO papers,0.0
60,Thejo Engineering announces 1:1 maiden bonus,0.0
61,Neutral on telecom: Ramanathan K,0.0
62,Technofab Engg fix IPO rate at Rs 230-240,0.0
63,Tata Sons names Gopichand Katragadda chief technology officer,0.0
64,Tata Motors appoints Gajendra Chandel as CHRO,0.0
65,Kalyanasundaram resigns as Independent Director of Tata Communications,0.0
66,Talwalkars can retest 133-140 levels: Ashwani Gujral,0.0
67,Suzlon board approves cashless restructuring of FCCBs,0.0
68,Sunteck Realty: Building a solid foundation,0.0
69,Harsha Viji is deputy MD of Sundaram MF,0.0
70,Sugar closes steady on sporadic buying,0.0
71,Sugar ends steady in thin trade,0.0
72,Sugar settles steady on little doing,0.0
73,Sugar ends quiet amid sufficient stock positions,0.0
74,India produces 14.3 million tonne sugar till mid-February,0.0
75,Sterling steadies after Scottish referendum debate wobble,0.0
76,UK data gives battered sterling some respite,0.0
77,Red-hot sterling cools a touch after PMI numbers,0.0
78,Steel prices end steady in thin trade,0.0
79,Tight movement in steel prices in thin trade,0.0
80,Spices hold steady in mute trade,0.0
81,SpiceJet makes top-level changes,0.0
82,Spicejet seeks shareholders' nod to hike promoters holding,0.0
83,Several small caps trading at eye-popping valuations,0.0
84,Sistema on way to market,0.0
85,Shoppers Stop elevates Salil Nair to CEO,0.0
86,Neutral on Shiva Cement: Seshadri Bharathan,0.0
87,How will Shell-BG deal impact global energy market,0.0
88,SGX's India office to woo fund raising corporations,0.0
89,Prasun Kumar Mukherjee quits Sesa Sterlite,0.0
90,Which Sensex stocks should you bet on?,0.0
91,Sensex rangebound; top 20 intraday trading ideas,0.0
92,SEC director with big stock holdings stirs debate,0.0
93,Sebi partially lifts curbs on Shantivijay Jewels,0.0
94,Sebi seeks clarification on RINL IPO,0.0
95,"Sebi attaches accounts of former Ranbaxy director, wife",0.0
96,Maruti-Suzuki deal: Institutional investors approach Sebi,0.0
97,Sebi notifies new ESOP regulations,0.0
98,Sebi revamps securitisation trustee norms,0.0
99,Centralised online system for investor grievances:SEBI,0.0
100,Sebi cautions against illicit high-return schemes,0.0
101,Sebi proposes restrictions on 'wilful defaulters',0.0
102,"New listing, de-listing regulations next month: Sebi",0.0
103,Sebi announces new set of ESOP regulations,0.0
104,Sebi considers proposal on cross-currency futures pairs,0.0
105,Sebi plans new norms for municipal bonds,0.0
106,"Sebi revamps committee on disclosures, accounting standards",0.0
107,Sebis reading of control issue confounds experts,0.0
108,20 companies approach Sebi with public offer proposals,0.0
109,Cabinet to consider proposal for Sebi ordinance tomorrow,0.0
110,"Insider trading on SEBI Chief, UK Sinha's radar",0.0
111,Minimum shareholding norm not for non-controlling entity: Sebi,0.0
112,President Pranab Mukherjee clears re-promulgation of Sebi ordinance,0.0
113,Sebi asks mutual funds to adopt high-deposit districts,0.0
114,Sebi calls for systemic safeguards in Algo trades,0.0
115,Sebi directs banks to defreeze accounts of Somanis,0.0
116,Sebi grants new status to three clearing corporations,0.0
117,Sebi initiates proceeding against entities in ponzi schemes,0.0
118,Sebi may seek relief for commodity exchange warehouses,0.0
119,Sebi mulls prudential governance norms for stock brokers,0.0
120,Sebi orders defreezing of accounts of five entities,0.0
121,Sebi plans annual information memorandum for listed companies,0.0
122,Sebi proposes stricter rules for securitisation deal trustees,0.0
123,Sebi to conitnue with more than 300 proceedings,0.0
124,Sebi to study surveillance systems in overseas markets,0.0
125,"Sebi, exchanges to tighten grip on speculative stocks",0.0
126,Sebi's public offer norms bat for retail investors,0.0
127,Sebi's toll-free service for investors open whole week,0.0
128,Single Demat A/c for all financial investments: SEBI,0.0
129,SCI ex-chairman S Hajara joins Doehle Danautic India,0.0
130,2270-2350 is the range for SBI: Sandeep Wagle,0.0
131,Cover up all positions for SBI: Mitesh Thacker,0.0
132,"Saudi market opens, may affect global fund flows",0.0
133,Sanghvi Forging and Engineering Ltd IPO opens tomorrow,0.0
134,Samsung Everland IPO seen spurring Samsung Group restructure,0.0
135,Samsung Electronic India enterprise business head quits,0.0
136,Samsonite International appoints Ramesh Tainwala as global COO,0.0
137,Soiles Bhattacharya takes interim charge of SAIL,0.0
138,"SAIL sets rs. 7,000-crore FPO process in motion",0.0
139,Expert's take: Rupee-dollar pair to test 45.30-45.50 levels,0.0
140,Budget 2014 mustn't sell rupee short,0.0
141,Cabinet decides on rupee sign today,0.0
142,Rupee little changed in intraday trade,0.0
143,Rupee ends little changed; fund flows in focus,0.0
144,Rupee swings hand arbitrage advantage to day traders,0.0
145,"Output not stretched, says Rubber Board",0.0
146,RP-Sanjiv Goenka Group to begin new CSR initiatives,0.0
147,Ravi Venkatesan joins Rockefeller Foundation Board,0.0
148,AGM can open new chapter for RIL shareholders,0.0
149,Should you opt for richly valued stocks?,0.0
150,Rs 15.26 crore dividend cheque from REPCO Bank,0.0
151,Wilmar deal: Not much for Renuka investors,0.0
152,Religare Securities launches virtual stock trading platform,0.0
153,Sandip Bansal joins Religare Capital Markets,0.0
154,Religare's top four picks for 2014,0.0
155,Reliance Industries announces 10-year US dollar bond,0.0
156,Reed Exhibitions looks to expand in India,0.0
157,Reckitt Benckiser names Nitish Kapoor as India MD,0.0
158,"Which is better, real estate or stocks?",0.0
159,"RBI, bourses weigh dollar delivery in futures trade",0.0
160,RBI Deputy Governor Anand Sinha retires,0.0
161,Cash rates stabilise after RBI's MSF auction,0.0
162,RBI moves to curb novel bond structure,0.0
163,What to expect from RBI policy tomorrow,0.0
164,RBI bets on 'shut period' to improve liquidity,0.0
165,RBI tightens provisioning norms for unhedged forex exposure,0.0
166,Raw material bull market fades as supply expands,0.0
167,Ranbaxy for short term: Deepak Mohoni,0.0
168,Upside capped at 90 for Ramsarup: Siddth Capital,0.0
169,Rallis India to launch branded pomegranates,0.0
170,Stay with quality stocks: Deven Choksey,0.0
171,Puravankara Projects gives 70% dividend to non-promoters,0.0
172,Pulses futures remain steady in thin trade,0.0
173,Pulses remain flat in thin trade,0.0
174,Pulses remain steady in thin trade,0.0
175,Pulses prices end steady in tight movements,0.0
176,Prices of pulses remain steady in thin trade,0.0
177,PTC India appoints Deepak Amitabh as CMD,0.0
178,"Finally, PSU-ETF launched; subscription from next week",0.0
179,PSU bonds match equity returns in fourth quarter,0.0
180,Principal MF appoints PVK Mohan as Head-Equity,0.0
181,PricewaterhouseCoopers to conduct special audit of MCX,0.0
182,"Neutral on power sector: Pankaj Pandey, ICICI Direct",0.0
183,Overseas funds plug into power gear makers,0.0
184,Participate in power through other sectors: Vijai Mantri,0.0
185,PNB: Asset quality improves but payout cut disturbing,0.0
186,Long-term investors may go for PMC Infratechs IPO,0.0
187,Sameer Garde appointed Philips Healthcare South Asia President,0.0
188,Things that influence pharmaceutical sector growth story,0.0
189,Seven rules for investing in penny stocks,0.0
190,Pegasystems Inc acquires MeshLabs Software,0.0
191,Parabolic Drugs IPO opens on June 14,0.0
192,OnMobile appoints Sanjay Bhambri as Regional VP,0.0
193,Sudhir Vasudeva to head ONGC,0.0
194,Britain FTSE regains traction as oil steadies,0.0
195,Experts' call on oil marketing companies,0.0
196,Oil ends steady in thin trade,0.0
197,Oil prices mixed in Asian trade,0.0
198,Oil takes breather in Asian trade,0.0
199,Oil prices turn mixed in Asian trade,0.0
200,Put OI concentration at 6000 shows support,0.0
201,OBC may go for FPO post-capital infusion,0.0
202,NTPC files for FPO,0.0
203,NSEL appoints five new independent directors,0.0
204,NSE sees senior level changes,0.0
205,NSE operationalises SME platform with first listing,0.0
206,"Options suggest range of 8,000-8,300 for NSE",0.0
207,NSE directs brokers to implement risk reduction mode,0.0
208,NSE to begin overnight investment facility from Monday,0.0
209,"Nomura sees Sensex at 33,500 by year-end",0.0
210,"Nothing alarming about Nifty level: Deepak Mohoni, trendwatchindia.com",0.0
211,Nifty likely to trade in 7500-7700 range,0.0
212,Nifty will revisit 7930-7940 levels: Mitesh Thacker,0.0
213,Today's Bet: 5100-5300 level crucial for Nifty,0.0
214,5450-5500 is possible on Nifty: Aptart Technical Services,0.0
215,"Immediate target for Nifty at 7,935-7,940: Mitesh Thacker",0.0
216,Nifty may retest levels of 8000: Mitesh Thacker,0.0
217,Nifty might consolidate between 8950-8980 levels: Mitesh Thacker,0.0
218,Nifty to find next support at 5950 level,0.0
219,"Nifty50 to find support at 7,950-7,930: Mitesh Thacker",0.0
220,Pre-market: Nifty seen opening flat; Economic Survey eyed,0.0
221,Pre-market: Nifty seen opening flat; may reclaim 8800,0.0
222,See Nifty heading towards 5180-5150 levels: Ashwani Gujral,0.0
223,NHPC: Timely completion of projects crucial for company,0.0
224,Network18 names Anuj Gandhi as Group distribution director,0.0
225,Should you buy Nestle India now?,0.0
226,T Nandakumar to be appointed NDDB Chairman,0.0
227,NCDEX mulls relaunch of Brent contract soon,0.0
228,"Exporters, traders flock to NCDEX's forwards segment",0.0
229,NCDEX launches new membership category for forwards segment,0.0
230,"NCDEX spot turnover may reach Rs 7,000 crore",0.0
231,Nasdaq eyes running dark pools for banks: WSJ,0.0
232,Nasdaq Record: Then and Now,0.0
233,"MTS appoints heads of Karnataka, UP (West) circles",0.0
234,Kuldip Singh named new CMD of MTNL,0.0
235,D-Street shakeup may be triggered by MSCI rejig,0.0
236,MRPL records Rs 406 crore net profit,0.0
237,"For Mphasis, watch for 345-350 level: Ashwani Gujral",0.0
238,Moser Baer postpones bondholders meet on debt restructuring,0.0
239,"Centre, states gear up for MOIL offer",0.0
240,Mini Indian Rupee futures launched in Dubai,0.0
241,MindTree board accepts Sootas resignation,0.0
242,Microsoft is tuning its phones for India coverage,0.0
243,"Mercedes India appoints new heads for sales, marketing",0.0
244,MEP Infrastructure's Rs 324 crore IPO opens tomorrow,0.0
245,"July 1, 2014: Mecklai Financial report on Rupee",0.0
246,"July 10, 2014: Mecklai Financial report on Rupee",0.0
247,"July 16, 2014: Mecklai Financial report on Rupee",0.0
248,"July 31, 2014: Mecklai Financial report on Rupee",0.0
249,"July 9, 2014: Mecklai Financial report on Rupee",0.0
250,"June 11, 2014: Mecklai Financial report on Rupee",0.0
251,"June 17, 2014: Mecklai Financial report on Rupee",0.0
252,"June 25, 2014: Mecklai Financial report on Rupee",0.0
253,"Mecklai Financial Report: 22 September, 2014",0.0
254,"Mecklai Financial Report: Novermber 03, 2014",0.0
255,"Mecklai Financial Report: October 10, 2014",0.0
256,"Mecklai Financial Report: October 7, 2014",0.0
257,"Mecklai Financial Report: September 08, 2014",0.0
258,"Mecklai Financial Report: September 29, 2014",0.0
259,"April 02, 2014: Mecklai Financial report on rupee",0.0
260,"April 14, 2014: Mecklai Financial report on rupee",0.0
261,"April 16, 2014: Mecklai Financial report on rupee",0.0
262,"August 1, 2014: Mecklai Financial report on Rupee",0.0
263,"August 7, 2014: Mecklai Financial report on Rupee",0.0
264,"February 5, 2014: Mecklai Financial report on rupee",0.0
265,"January 03, 2014: Mecklai Financial report on rupee",0.0
266,"January 07, 2014: Mecklai Financial report on rupee",0.0
267,"January 11, 2014: Mecklai Financial report on rupee",0.0
268,"January 15, 2014: Mecklai Financial report on rupee",0.0
269,"March 04, 2014: Mecklai Financial report on rupee",0.0
270,"March 15, 2014: Mecklai Financial report on rupee",0.0
271,"May 29, 2014: Mecklai Financial report on rupee",0.0
272,"November 05, 2013: Mecklai Financial report on rupee",0.0
273,"November 13, 2013: Mecklai Financial report on rupee",0.0
274,"November 27, 2013: Mecklai Financial report on rupee",0.0
275,"November 28, 2013: Mecklai Financial report on rupee",0.0
276,"September 1, 2014: Mecklai Financial report on Rupee",0.0
277,"MCX-SXCCL seeks candidates for Managing Director, CEO post",0.0
278,MCX-SX is well ring-fenced from NSEL crisis: Sebi,0.0
279,MCX shares financial details with FTIL financial adviser,0.0
280,MCX CFO Hemant Vastani resigns,0.0
281,MCX migrates to latest version of exchange software,0.0
282,MCX plans to launch spot trading in gold?,0.0
283,McAfee appoints Anand Prahlad as India Operations head,0.0
284,Maytas Infra to consider share issue July 19,0.0
285,Max Life Insurance proposes maiden dividend for shareholders,0.0
286,Maruti Gujarat plans: Will small investors be shortchanged?,0.0
287,Games fund managers play in Maruti,0.0
288,Maruti may get re-rated post Diwali: Prakash Diwan,0.0
289,Market downside capped likely at 7550 levels,0.0
290,Market on a consolidating mode: Mitesh Thacker,0.0
291,Marico Kaya to be listed on bourses,0.0
292,Manappuram Finance launches another public issue,0.0
293,Manappuram Finance launches another public issue,0.0
294,MakeMyTrip posts Q4 net profit of $3.7 mn,0.0
295,Mahanagar Gas files IPO papers with Sebi,0.0
296,Madras Stock Exchange to close doors?,0.0
297,Macquarie initiates neutral rating on Lupin,0.0
298,M&M probably retest levels around 550: Ashwani Gujral,0.0
299,Hosiery maker Lux Industries to debut on NSE,0.0
300,Lux Industries lists on NSE at Rs 3342.05,0.0
301,US Generic launches are key to Lupin growth,0.0
302,Lamy names William Penn official distributor in India,0.0
303,Shareholding norms: L&T Finance Holdings explores various options,0.0
304,L&T: Analysts' views & recommendations on the stock,0.0
305,Five things to know about KYC Registration Agency,0.0
306,Kirloskar Engines India turns Kirloskar Oil Engines India,0.0
307,"Kalindee Rail is thinly traded: Sandeep Wagle, APTART",0.0
308,Jyothy Laboratories rejigs top management,0.0
309,"JPMorgan shuffles CFO, other execs",0.0
310,JK Tyre & Industries to consider stock split,0.0
311,Jindal SAW appoints Neeraj Kumar as group CEO,0.0
312,"JGBs mixed, underpinned by solid 5-year auction results",0.0
313,JGBs steady at lofty levels as stocks slump,0.0
314,Q1 earnings analysis: Jammu and Kashmir Bank,0.0
315,Jaggery prices steady in thin trade,0.0
316,"ITC Q2 profit at Rs 2,425.16 crore",0.0
317,What can be expected from ITC Q3 results?,0.0
318,Be tactful on IT stocks: Deven Choksey,0.0
319,Stock-specific action likely on IT counters: Nitin Raheja,0.0
320,Stock-specific action likely on IT counters: Nitin Raheja,0.0
321,Decoding the cryogenic engine used in ISRO launch,0.0
322,Ircon declares Rs 64 crore dividend for 2011-12,0.0
323,Ingersoll Rand appoints Madhusudan Rao as CFO,0.0
324,Check out experts' recommendations on infra stocks,0.0
325,Infosys' S Gopalakrishnan is the new CII President,0.0
326,Infosys appoints Kanchinadam as Chief Compliance Officer,0.0
327,Infosys elevates Pravin Rao as whole-time director,0.0
328,What brokerages are expecting from Infosys Q4 results,0.0
329,Why long-term investors should stay invested in Infosys,0.0
330,Smart things to know about inflation-indexed bonds,0.0
331,Inflation indexed bonds to be modified: RBI DG,0.0
332,Infinite Computer to enter market,0.0
333,IndiGo staff keep off airline's IPO,0.0
334,Calculus that drives Indian Railways,0.0
335,Mark Mobius expects 15-20% returns from Indian markets,0.0
336,Mark Mobius expects 15-20% returns from Indian markets,0.0
337,"Indian market retains trillion-dollar tag, for now",0.0
338,Jignesh Shah quits Indian Energy Exchange board,0.0
339,How India Inc can woo more international investors,0.0
340,IIFL Commodities behind NSEL defamation notice?,0.0
341,Two IIFL subsidiaries get investment adviser licence,0.0
342,IIFCL launches infrastructure bonds,0.0
343,Anshu Jain joins IIF board,0.0
344,IiAS names Hetal Dalal as COO,0.0
345,Chandrakala Padia to be IIAS first woman chairperson,0.0
346,Narendra Kumar takes over as IGL Managing Director,0.0
347,2G auction will not impact Idea Cellular,0.0
348,IDBI Federal Life elevates Vighnesh Shahane as CEO,0.0
349,BoR awaits legal view for ICICI-BoR merger,0.0
350,What to expect from ICICI Bank Q3 results?,0.0
351,Rajnikant Patel tipped to become ICEX CEO,0.0
352,IBMA reconstitutes board; appoints four new directors,0.0
353,"Hyundai Motor India promotes R Sethuraman, Rakesh Srivastava",0.0
354,Hyundai elevates R Sethuraman to board of directors,0.0
355,Two senior executives quit HULs modern trade division,0.0
356,Hong Kong shares end mixed as insurers weigh,0.0
357,Hindujas to raise $1 bn through Petromin IPO,0.0
358,Hinduja Ventures Q3 profit at Rs 23.53 crore,0.0
359,Range-bound markets help consolidate: HDFC Standard Life,0.0
360,HCL ropes in Chandrasekaran as No. 2,0.0
361,Sant Singh Chatwal-led Hampshire Hotels appoints new CEO,0.0
362,Gur prices ends quiet on scattered buying,0.0
363,KK Maheshwari appointed as Grasim MD,0.0
364,"India valuations are less compelling, says Goldman Sachs",0.0
365,China eyes gold market clout with new exchange,0.0
366,Should you bet on gold loan companies?,0.0
367,Catch the glow of gold,0.0
368,"Gold trading flat, reflecting overseas trend",0.0
369,Elections results to influence gold prices: Study,0.0
370,"Gold steadies above $1,250/oz before US jobs report",0.0
371,Gold steadies ahead of expected hawkish Fed moves,0.0
372,Gold steadies as buoyant equities balance Ukraine tensions,0.0
373,"GMR, investors rework their investment in GEL",0.0
374,Sridhar Krishnamoorthy to head Gerdau Steel India,0.0
375,Geojit posts Rs 20 crore profit in Q2,0.0
376,General Insurance Corporation to offer catastrophe bonds,0.0
377,"MCX-SX distances itself from FTIL, plans makeover",0.0
378,FTILs warrants sale hangs in balance,0.0
379,Foodgrain prices rule steady in wholesale market,0.0
380,What lies ahead for FMCG stocks,0.0
381,Weak monsoon could halt rally in FMCG stocks,0.0
382,FMC revises norms for surrendering membership of commexes,0.0
383,FMC unveils uniform warehouse accreditation norms for bourses,0.0
384,FMC mulls centre-specific commodity forward trades,0.0
385,We are reviewing shareholding guidelines: FMC chairman,0.0
386,Flipkart names Rajnish Baweja as its finance controller,0.0
387,Firstsource: Should you invest at the current levels?,0.0
388,Finolex Cables Q4 PAT at Rs 18.68 cr,0.0
389,Financial Technologies appears befor Sebi in MCX-SX case,0.0
390,Financial Technologies receives non-binding bids for its stake,0.0
391,Ficci establishes centre for corporate governance,0.0
392,Fiat Chrysler launches Ferrari IPO,0.0
393,Fed decision unlikely to calm markets: Fund managers,0.0
394,Fatpipe to raise Rs 49 cr through IPO,0.0
395,Brokerspicks: Morgan Stanley has equal-weight on Exide Industries,0.0
396,Everstone names L. Brooks Entwistle as group CEO,0.0
397,Are Europe-focused funds a good bet?,0.0
398,Staying active in flat European stock markets,0.0
399,European stock markets flat as glum outlook weighs,0.0
400,European shares steady ahead of ECB decision,0.0
401,European shares steady; all eyes on ECB,0.0
402,Euronext names new head of post-trade business,0.0
403,Euro back around $1.37 as ECB meets again,0.0
404,Euro is not too strong: Luc Coene,0.0
405,Euro remains steady ahead of ECB policy meeting,0.0
406,Eurex exchange says currently experiencing technical issues,0.0
407,Important support for EUR/USD lies at $1.3588/86,0.0
408,Ravi Ruia quits as Essar Energy chief,0.0
409,Rajeev Vasudeva appointed CEO of Egon Zehnder,0.0
410,Day Trading Guide by Edelweiss Securities,0.0
411,Day Trading Guide from Edelweiss Securities,0.0
412,DTC will not impact foreign investor fund inflows,0.0
413,DSP Blackrock moves Sebi for retirement fund,0.0
414,Dry fruit prices rule steady in tight movements,0.0
415,"A look at the Dow 1,000-point milestones",0.0
416,How the dollar impacts you,0.0
417,Dollar moves narrowly in Asia trade,0.0
418,Dollar steady in Asia ahead of Fed minutes,0.0
419,"Dollar supported by ECB talk, Japan election speculation",0.0
420,Pramod Bhasin to head DLF's rental business,0.0
421,Dhanlaxmi Bank board orders 3-year expenditure audit,0.0
422,Dhabriya Polywood lists on SME platform of BSE,0.0
423,"Deutsche sets Sensex target at 24,000 by December",0.0
424,Cyclicals to wait for concrete fundamentals: Nitin Raheja,0.0
425,Crude reserves filling to begin after March 2016,0.0
426,Crisil launches first inflation-linked government securities index,0.0
427,Commonfloor.com plans to launch IPO in 3-5 years,0.0
428,Commodities futures now part of supply chain,0.0
429,Look beyond annual contracts in commodity buying',0.0
430,Mixed trend prevailed in commodities market this week,0.0
431,Commexes extended trade hours hit a roadblock,0.0
432,Comfort Comtrade lists on BSE's SME platform,0.0
433,Colgate-Palmolive India appoints Prabha Parameswaran as MD,0.0
434,Coffee Day to list shares on Monday,0.0
435,Coffee Day IPO: Should you subscribe or avoid?,0.0
436,CNX IT holding the market: Ashwani Gujral,0.0
437,CLSA picks top 12 investment themes for 2014,0.0
438,Sameer Goel takes over as Cipla India head,0.0
439,Cipla to meet revised targets,0.0
440,Cipla appoints Adil Zainulbhai as an independent director,0.0
441,Sameer Goel takes over as Cipla's India head,0.0
442,"Despite discount, CIL staff cool to IPO",0.0
443,Ajay Shriram takes over as new CII President,0.0
444,China yuan sees respite from recent bruising,0.0
445,China yuan flat despite a two-month low midpoint,0.0
446,China yuan pinned steady by central bank guidance,0.0
447,China stocks close mixed ahead of 'connector' launch,0.0
448,China stock offers to resume next week: Companies,0.0
449,China Overseas Land braves market with euro bonds,0.0
450,China markets calm in thin trade,0.0
451,Cerebra snaps winning streak as traders corner co,0.0
452,Central Depository Services plans Rs 400 crore IPO,0.0
453,Care reports flat net in Q3,0.0
454,Carborundum Universal posts Rs 49 cr Q4 profit,0.0
455,Caldwell looks to raise stake in BSE,0.0
456,BSNL IPO may happen next fiscal: Disinvestment Secretary,0.0
457,Muhurat trading at BSE and NSE on Diwali,0.0
458,BSE Sensex rangebound; Nifty holds 7600 levels,0.0
459,BSE revises circuit limit for 405 stocks,0.0
460,BSE increases lot-size of foreign index derivatives contracts,0.0
461,"BSE plans international exchange in Gujarat, commodity bourse",0.0
462,BSE to begin charging for currency derivatives trade,0.0
463,BSE to introduce new group 'W' from Friday,0.0
464,BSE tweaks minimum base capital rules for brokers,0.0
465,BS Transcomm debuts at Rs 257/share on NSE,0.0
466,BS Transcomm IPO looks costlier than peers:Nirmal Bang,0.0
467,Vinita Bali steps down as Britannia Managing Director,0.0
468,Record open interest points to Brent price support,0.0
469,Bonds now move in tandem with stocks,0.0
470,Bonds little changed; treasury bills auction in focus,0.0
471,Bond yields steady ahead of buyback results,0.0
472,Bond yields steady; treasury bill outcome watched,0.0
473,Bond yields little changed; buyback news to support,0.0
474,Fruitful talks held with Bharti on mobile industry,0.0
475,BGR Energy can test 370 levels: Mitesh Thacker,0.0
