,text,score
0,spicejet to issue 4 crore warrants to promoters,0.0
1,mmtc q2 net loss at rs 4 crore,0.0
2,mid cap funds can deliver more  stay put  experts,1.0
3,mid caps now turn into market darlings,1.0
4,market seeing patience  if not conviction  prakash diwan,0.0
5,infosys  will the strong volume growth sustain ,0.0
6,hudco raises rs cr via tax free bonds,1.0
7,hoec could retest 35 levels  ashwani gujral,0.0
8,genpact appoints edward j fitzpatrick as cfo,0.0
9,exl beats profit estimates  cuts sales outlook,1.0
10,wait and watch on bharti airtel  vinay khattar,0.0
11,would stick to banking  girish pai  centrum broking,1.0
12,msci adds aurobindo pharma to india index,1.0
13,ashok leyland raises rs crore through qip,1.0
14,at wipro  growth remains a mirage,-1.0
15,why chinese stocks leave us investors vulnerable,-1.0
16,us stocks finish mixed amid more tech selling,-1.0
17,opec reduces estimate on oil demand growth,-1.0
18,oil prices mixed ahead of us supply report,0.0
19,makemytrip expands share sale plan,0.0
20,gur closes quiet on some support,0.0
21,gur closes steady on low demand,0.0
22,gur closes steady on thin trade,0.0
23,gur remains flat in tight movements,0.0
24,popularising g secs among retail investors,0.0
25,gold trades nearly flat on dull demand,0.0
26,zee announces closure of share buyback programme,0.0
27,zee q2 net at rs 3 cr,0.0
28,china to start yuan trading on tuesday,0.0
29,bse inks strategic partnership with yes bank,0.0
30,yes bank launches sovereign gold bond,0.0
31,yen firms in asia on iraq  ukraine jitters,1.0
32,billionaire s stake shakes woolworth s buyout of david jones,0.0
33,wonderla holidays ipo subscribed  on day ,0.0
34,wonderla holidays ipo subscribed  on second day,0.0
35,wns appoints ronald gillette as chief operating officer,0.0
36,strong deals crucial for wipro s growth push,0.0
37,ten key takeaways from wipro q1 results,0.0
38,whirlpool may head to around 475  devang visaria,0.0
39,western coalfields cmd d c garg passes away,0.0
40,vrl logistics ipo grey market premium at ,0.0
41,ipo after tax row is settled  says vodafone,0.0
42,vodafone gets ready for ipo of indian arm,0.0
43,vmware appoints arun parameswaran as india md,0.0
44,videocon d2h likely to bring ipo this fiscal,0.0
45,videocon appoints sanjeev bakshi as coo,0.0
46,viber ups marketing efforts with cmo appointment,0.0
47,verizon appoints christopher formant to head enterprise business,0.0
48,amidst commodity boom  vanilla remains plain vanilla,0.0
49,universal commodity exchange goes live,0.0
50,united spirits appoints anand kripalu as ceo,0.0
51,promoters raise stake to 72 pc in unitech,0.0
52,uninor appoints grameenphone cto as new india coo,0.0
53,tv today q2 profit at rs 83 crore,0.0
54,tokyo stocks flat by the break,0.0
55,adi rajaram appointed tniic chairman,0.0
56, is key level for titan  ashwani gujral,0.0
57,kapil kapoor is global coo of timex group,0.0
58,til limited can open up for rs 1200  ventura,0.0
59,thyrocare technologies limited files draft ipo papers,0.0
60,thejo engineering announces 1 maiden bonus,0.0
61,neutral on telecom  ramanathan k,0.0
62,technofab engg fix ipo rate at rs 240,0.0
63,tata sons names gopichand katragadda chief technology officer,0.0
64,tata motors appoints gajendra chandel as chro,0.0
65,kalyanasundaram resigns as independent director of tata communications,0.0
66,talwalkars can retest 140 levels  ashwani gujral,0.0
67,suzlon board approves cashless restructuring of fccbs,0.0
68,sunteck realty  building a solid foundation,0.0
69,harsha viji is deputy md of sundaram mf,0.0
70,sugar closes steady on sporadic buying,0.0
71,sugar ends steady in thin trade,0.0
72,sugar settles steady on little doing,0.0
73,sugar ends quiet amid sufficient stock positions,0.0
74,india produces 3 million tonne sugar till mid february,0.0
75,sterling steadies after scottish referendum debate wobble,0.0
76,uk data gives battered sterling some respite,0.0
77,red hot sterling cools a touch after pmi numbers,0.0
78,steel prices end steady in thin trade,0.0
79,tight movement in steel prices in thin trade,0.0
80,spices hold steady in mute trade,0.0
81,spicejet makes top level changes,0.0
82,spicejet seeks shareholders  nod to hike promoters holding,0.0
83,several small caps trading at eye popping valuations,0.0
84,sistema on way to market,0.0
85,shoppers stop elevates salil nair to ceo,0.0
86,neutral on shiva cement  seshadri bharathan,0.0
87,how will shell bg deal impact global energy market,0.0
88,sgx s india office to woo fund raising corporations,0.0
89,prasun kumar mukherjee quits sesa sterlite,0.0
90,which sensex stocks should you bet on ,0.0
91,sensex rangebound  top intraday trading ideas,0.0
92,sec director with big stock holdings stirs debate,0.0
93,sebi partially lifts curbs on shantivijay jewels,0.0
94,sebi seeks clarification on rinl ipo,0.0
95,sebi attaches accounts of former ranbaxy director  wife,0.0
96,maruti suzuki deal  institutional investors approach sebi,0.0
97,sebi notifies new esop regulations,0.0
98,sebi revamps securitisation trustee norms,0.0
99,centralised online system for investor grievances sebi,0.0
100,sebi cautions against illicit high return schemes,0.0
101,sebi proposes restrictions on  wilful defaulters ,0.0
102,new listing  de listing regulations next month  sebi,0.0
103,sebi announces new set of esop regulations,0.0
104,sebi considers proposal on cross currency futures pairs,0.0
105,sebi plans new norms for municipal bonds,0.0
106,sebi revamps committee on disclosures  accounting standards,0.0
107,sebis reading of control issue confounds experts,0.0
108, companies approach sebi with public offer proposals,0.0
109,cabinet to consider proposal for sebi ordinance tomorrow,0.0
110,insider trading on sebi chief  uk sinha s radar,0.0
111,minimum shareholding norm not for non controlling entity  sebi,0.0
112,president pranab mukherjee clears re promulgation of sebi ordinance,0.0
113,sebi asks mutual funds to adopt high deposit districts,0.0
114,sebi calls for systemic safeguards in algo trades,0.0
115,sebi directs banks to defreeze accounts of somanis,0.0
116,sebi grants new status to three clearing corporations,0.0
117,sebi initiates proceeding against entities in ponzi schemes,0.0
118,sebi may seek relief for commodity exchange warehouses,0.0
119,sebi mulls prudential governance norms for stock brokers,0.0
120,sebi orders defreezing of accounts of five entities,0.0
121,sebi plans annual information memorandum for listed companies,0.0
122,sebi proposes stricter rules for securitisation deal trustees,0.0
123,sebi to conitnue with more than proceedings,0.0
124,sebi to study surveillance systems in overseas markets,0.0
125,sebi  exchanges to tighten grip on speculative stocks,0.0
126,sebi s public offer norms bat for retail investors,0.0
127,sebi s toll free service for investors open whole week,0.0
128,single demat a c for all financial investments  sebi,0.0
129,sci ex chairman s hajara joins doehle danautic india,0.0
130, 2350 is the range for sbi  sandeep wagle,0.0
131,cover up all positions for sbi  mitesh thacker,0.0
132,saudi market opens  may affect global fund flows,0.0
133,sanghvi forging and engineering ltd ipo opens tomorrow,0.0
134,samsung everland ipo seen spurring samsung group restructure,0.0
